0,258,1857,0,
16,2049,2017,0,
14,2972,1926,0,
16,5494,1899,0,
16,9525,2186,0,
16,11946,1966,0,
16,12095,2535,0,
16,13994,2340,0,
16,15357,2346,0,
14,14785,2117,0,
16,14967,1742,0,
16,17631,825,0,
16,17535,2375,0,
16,16961,1518,0,
16,17656,1461,0,
22,8522,1906,21,8639,2047,
25,8190,1650,0,
22,14021,1650,21,14209,1790,
25,13770,1380,0,
26,17814,1650,21,18372,2364,
103,896,1471,0,
104,4545,2561,0,
101,8538,2655,0,
103,9280,2991,0,
101,10433,2593,0,
105,11949,2593,0,
102,13060,1367,0,
103,14332,1249,0,
105,15998,831,0,
105,16018,2447,0,
