10,10,2

01,01,00,00,01,01,00,00,01,01,
01,00,00,00,00,00,00,00,00,01,
01,00,00,00,00,00,00,00,00,01,
01,00,00,00,00,00,00,00,00,01,
01,00,00,00,00,00,00,00,00,01,
01,00,00,00,00,00,00,00,00,01,
01,00,00,00,00,00,00,00,00,01,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
01,01,00,00,01,01,00,00,01,01,

00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
